Vara,Tithi,TithiStart,TithiEnd,TithiDuration,Nakshatra,NakshatraStart,NakshatraEnd,NakshatraDuration,Yoga,YogaStart,YogaEnd,YogaDuration,Sunrise,Sunset,MoonriseDate,MoonriseTime,MoonsetDate,MoonsetTime
Guruwar,Sukla Paksha Shashthi,Sep 01 02:49PM,Sep 02 01:51PM,1382,Vishaka,Sep 02 12:12AM,Sep 02 11:47PM,1415,Sukla,Aug 31 12:04AM,Aug 31 10:47PM,1363,6:03AM,6:39PM,Sep-01,10:26AM,Sep-01,9:44PM
Shukrwar,Sukla Paksha Saptami,Sep 02 01:51PM,Sep 03 12:28PM,1357,Anuradha ,Sep 02 11:47PM,Sep 03 10:57PM,1390,Brahma ,Aug 31 10:47PM,Sep 01 09:11PM,1344,6:03AM,6:37PM,Sep-02,11:29AM,Sep-02,10:23PM
Shaniwar,Sukla Paksha Ashtami,Sep 03 12:28PM,Sep 04 10:40AM,1332,Jyeshta,Sep 03 10:57PM,Sep 04 09:43PM,1366,Indra ,Sep 01 09:11PM,Sep 02 07:16PM,1325,6:04AM,6:36PM,Sep-03,12:35PM,Sep-03,11:08PM
Raviwar,Sukla Paksha Navami,Sep 04 10:40AM,Sep 05 08:28AM,1308,Moola,Sep 04 09:43PM,Sep 05 08:05PM,1342,Vaidhruthi ,Sep 02 07:16PM,Sep 03 05:00PM,1304,6:04AM,6:35PM,Sep-04,1:42PM,Sep-05,12:01AM
Somwar,Sukla Paksha Dashami [ Tithi Kshaya ],Sep 05 08:28AM,Sep 06 05:54AM,1286,Purva Ashadha,Sep 05 08:05PM,Sep 06 06:09PM,1324,Vishkambha,Sep 03 05:00PM,Sep 04 02:23PM,1283,6:05AM,6:34PM,Sep-05,2:48PM,Sep-06,1:02AM
Mangalwar,Sukla Paksha Ekadashi ,Sep 06 05:54AM,Sep 07 03:05AM,1271,Uttara Ashadha,Sep 06 06:09PM,Sep 07 04:00PM,1311,Prithi ,Sep 04 02:23PM,Sep 05 11:28AM,1265,6:05AM,6:33PM,Sep-06,3:50PM,Sep-06,2:10AM
Budhwar,Sukla Paksha Dwadashi ,Sep 07 03:05AM,Sep 08 12:05AM,1260,Shravana,Sep 07 04:00PM,Sep 08 01:46PM,1306,Ayushman ,Sep 05 11:28AM,Sep 06 08:15AM,1247,6:06AM,6:32PM,Sep-07,4:44PM,Sep-08,3:21AM
Guruwar,Sukla Paksha Trayodashi ,Sep 08 12:05AM,Sep 08 09:03PM,1258,Dhanishta,Sep 08 01:46PM,Sep 09 11:35AM,1309,Saubhagya,Sep 06 08:15AM,Sep 07 04:49AM,1234,6:06AM,6:31PM,Sep-08,5:32PM,Sep-09,4:31AM
Shukrwar,Sukla Paksha Chaturdashi ,Sep 08 09:03PM,Sep 09 06:08PM,1265,Shatabhisha,Sep 09 11:35AM,Sep 10 09:37AM,1322,Sobhana ,Sep 07 04:49AM,Sep 08 01:15AM,1226,6:07AM,6:29PM,Sep-09,6:13PM,Sep-10,5:39AM
Shaniwar,Sukla Paksha Purnima,Sep 09 06:08PM,Sep 10 03:28PM,1281,Purva Bhadrapada,Sep 10 09:37AM,Sep 11 08:02AM,1345,Atiganda,Sep 08 01:15AM,Sep 08 09:40PM,1225,6:07AM,6:28AM,Sep-10,6:49PM,Sep-11,6:44AM
